Date,Name,Year,Letterboxd URI
2019-03-11,Captain Marvel,2019,https://boxd.it/9vSA
2019-03-11,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2019-03-11,The Favourite,2018,https://boxd.it/d2hI
2019-03-11,Green Book,2018,https://boxd.it/hErk
2019-03-11,A Star Is Born,2018,https://boxd.it/aXgc
2019-03-11,Bohemian Rhapsody,2018,https://boxd.it/f1TK
2019-03-11,Aquaman,2018,https://boxd.it/9ru0
2019-03-11,BlacKkKlansman,2018,https://boxd.it/hxL8
2019-03-22,Vice,2018,https://boxd.it/fcFY
2019-03-24,Se7en,1995,https://boxd.it/29zs
2019-03-24,The Green Mile,1999,https://boxd.it/2agG
2019-04-07,The Silence of the Lambs,1991,https://boxd.it/2aHW
2019-04-07,Shutter Island,2010,https://boxd.it/1U82
2019-04-07,Fight Club,1999,https://boxd.it/2a9q
2019-04-07,Bumblebee,2018,https://boxd.it/f21O
2020-10-20,Click,2006,https://boxd.it/1YVM
2020-10-20,Parasite,2019,https://boxd.it/hTha
2020-10-20,Central Station,1998,https://boxd.it/29RG
2020-10-20,City of God,2002,https://boxd.it/2a2a
2020-10-20,Knives Out,2019,https://boxd.it/jWEA
2020-10-20,Midsommar,2019,https://boxd.it/jhxe
2020-10-20,The Social Dilemma,2020,https://boxd.it/opQI
2020-10-20,Halloween,1978,https://boxd.it/2wRu
2020-10-20,The Lighthouse,2019,https://boxd.it/icFU
2020-10-20,Get Out,2017,https://boxd.it/eOCm
2020-10-20,12 Years a Slave,2013,https://boxd.it/2D2e
2020-10-20,Sorry to Bother You,2018,https://boxd.it/f21E
2020-10-20,Black Panther,2018,https://boxd.it/8MHs
2020-10-20,Alien,1979,https://boxd.it/2awY
2020-10-20,Psycho,1960,https://boxd.it/2ab2
2020-10-20,What Ever Happened to Baby Jane?,1962,https://boxd.it/1WJE
2020-10-20,Jaws,1975,https://boxd.it/2a5e
2020-10-20,Black Swan,2010,https://boxd.it/Sw0
2020-10-20,Shaun of the Dead,2004,https://boxd.it/29J8
2020-10-20,Jojo Rabbit,2019,https://boxd.it/iEBG
2020-10-20,The Imitation Game,2014,https://boxd.it/6aig
2020-10-20,Slumdog Millionaire,2008,https://boxd.it/1S3E
2020-10-20,American Beauty,1999,https://boxd.it/71Y
2020-10-20,Life Is Beautiful,1997,https://boxd.it/29Wm
2020-10-20,Booksmart,2019,https://boxd.it/igNS
2020-10-20,The Devil All the Time,2020,https://boxd.it/i2tY
2020-10-20,Easy A,2010,https://boxd.it/17DK
2020-10-20,50 First Dates,2004,https://boxd.it/285c
2020-10-20,Hotel Transylvania,2012,https://boxd.it/2DF6
2020-10-20,Just Go with It,2011,https://boxd.it/Doq
2020-10-20,Pixels,2015,https://boxd.it/7BaA
2020-10-20,Bedtime Stories,2008,https://boxd.it/1WPM
2020-10-20,Blended,2014,https://boxd.it/6QQY
2020-10-20,You Don't Mess with the Zohan,2008,https://boxd.it/1VHs
2020-10-20,Grown Ups,2010,https://boxd.it/169a
2020-10-20,Grown Ups 2,2013,https://boxd.it/3GAq
2020-10-20,The Ridiculous 6,2015,https://boxd.it/bFXk
2020-10-20,Murder Mystery,2019,https://boxd.it/iEBm
2020-10-20,Good Will Hunting,1997,https://boxd.it/2ahY
2020-10-20,Thor: Ragnarok,2017,https://boxd.it/8MHi
2020-10-20,The Martian,2015,https://boxd.it/8SeG
2020-10-20,Deadpool 2,2018,https://boxd.it/dlLM
2020-10-20,Interstellar,2014,https://boxd.it/4VZ8
2020-10-20,Saving Private Ryan,1998,https://boxd.it/29ro
2020-10-20,The Departed,2006,https://boxd.it/28MA
2020-10-20,Ford v Ferrari,2019,https://boxd.it/ce74
2020-10-20,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O
2020-10-20,Mr. & Mrs. Smith,2005,https://boxd.it/29CG
2020-10-20,World War Z,2013,https://boxd.it/2p2E
2020-10-20,Inglourious Basterds,2009,https://boxd.it/1JzG
2020-10-20,Estômago: A Gastronomic Story,2007,https://boxd.it/2hnO
2020-10-20,The Second Mother,2015,https://boxd.it/9Ydm
2020-10-20,Elite Squad,2007,https://boxd.it/20YI
2020-10-20,Aquarius,2016,https://boxd.it/d6YQ
2020-10-20,Bacurau,2019,https://boxd.it/fSUG
